"conNum","best jaccard","k","selection","k","con-selection","k","outliers","FCI time","consensus time"
"1",5e-09,0.566645555275198,7,0.488835728503885,14,0.435266887811192,3,2059,60.5377,619.1782
"2",2.5e-08,0.664109081201974,5,0.532910866326315,16,0.503678835602283,4,650,60.5377,524.3726
"3",4.5e-08,0.554054475116548,5,0.513323150201978,11,0.552733243201396,5,917,60.5377,536.7055
"4",6.5e-08,0.660495979786995,5,0.533031795227137,16,0.651358269025573,5,649,60.5377,474.7234
"5",8.5e-08,0.673607504081248,5,0.533031795227137,16,0.664168868268634,5,1610,60.5377,524.0887
"6",1.05e-07,0.672361702758934,5,0.531169463068066,16,0.659677499850278,5,473,60.5377,474.0765
"7",1.25e-07,0.672285672249232,5,0.531169463068066,16,0.659677499850278,5,474,60.5377,478.6246
"8",1.45e-07,0.672285672249232,5,0.531169463068066,16,0.659677499850278,5,467,60.5377,474.0084
"9",1.65e-07,0.672285672249232,5,0.531169463068066,16,0.66909284931149,5,337,60.5377,483.0115
"10",1.85e-07,0.672285672249232,5,0.531169463068066,16,0.66909284931149,5,337,60.5377,478.8929
"11",2.05e-07,0.672392846027318,5,0.531187132264029,16,0.67056772488462,5,314,60.5377,483.255
"12",2.25e-07,0.672392846027318,5,0.531187132264029,16,0.67056772488462,5,314,60.5377,479.8037
"13",2.45e-07,0.672285672249232,5,0.574844726169842,15,0.670460553182068,5,298,60.5377,482.1349
"14",2.65e-07,0.672285672249232,5,0.574844726169842,15,0.670460553182068,5,298,60.5377,484.9391
"15",2.85e-07,0.672285672249232,5,0.574844726169842,15,0.670460553182068,5,298,60.5377,481.9422
"16",3.05e-07,0.672392846027318,5,0.574844726169842,15,0.670643274817176,5,296,60.5377,489.061
"17",3.25e-07,0.672392846027318,5,0.574844726169842,15,0.670643274817176,5,296,60.5377,486.143
"18",3.45e-07,0.672392846027318,5,0.574844726169842,15,0.670643274817176,5,296,60.5377,488.7673
"19",3.65e-07,0.672392846027318,5,0.574844726169842,15,0.670643274817176,5,296,60.5377,484.8319
"20",3.85e-07,0.672392846027318,5,0.576247002600958,11,0.670643274817176,5,466,60.5377,477.1087
"21",4.05e-07,0.672392846027318,5,0.576247002600958,11,0.670643274817176,5,466,60.5377,482.179
"22",4.25e-07,0.674555120579563,5,0.669868098478608,10,0.661224162276932,5,548,60.5377,499.6445
"23",4.45e-07,0.674555120579563,5,0.669868098478608,10,0.661224162276932,5,548,60.5377,501.933
"24",4.65e-07,0.674336353202127,5,0.669721492663881,10,0.661089568435081,5,557,60.5377,543.197
"25",4.85e-07,0.674336353202127,5,0.669721492663881,10,0.670501206269018,5,427,60.5377,542.4904
"26",5.05e-07,0.674336353202127,5,0.669721492663881,10,0.670501206269018,5,427,60.5377,547.0225
"27",5.25e-07,0.674336353202127,5,0.671730735562891,8,0.670501206269018,5,410,60.5377,543.7289
"28",5.45e-07,0.674336353202127,5,0.671730735562891,8,0.670501206269018,5,410,60.5377,547.2563
"29",5.65e-07,0.6735072275082,5,0.672439447514352,7,0.670501206269018,5,401,60.5377,549.8802
"30",5.85e-07,0.6735072275082,5,0.672372198188013,7,0.670501206269018,5,408,60.5377,544.0282
"31",6.05e-07,0.674894094853485,5,0.672372198188013,7,0.671896779649251,5,453,60.5377,535.821
"32",6.25e-07,0.674894094853485,5,0.672372198188013,7,0.671896779649251,5,453,60.5377,526.2021
"33",6.45e-07,0.674894094853485,5,0.672372198188013,7,0.671896779649251,5,453,60.5377,525.5739
"34",6.65e-07,0.674807682171418,5,0.673316423929632,7,0.671813198530612,5,402,60.5377,540.6697
"35",6.85e-07,0.674807682171418,5,0.673316423929632,7,0.671813198530612,5,402,60.5377,544.4459
"36",7.05e-07,0.674807682171418,5,0.673316423929632,7,0.671813198530612,5,402,60.5377,540.7475
"37",7.25e-07,0.674807682171418,5,0.673316423929632,7,0.671813198530612,5,402,60.5377,537.2653
"38",7.45e-07,0.674807682171418,5,0.673316423929632,7,0.670704029227309,5,393,60.5377,551.6392
"39",7.65e-07,0.674807682171418,5,0.673316423929632,7,0.670704029227309,5,393,60.5377,558.3577
"40",7.85e-07,0.674807682171418,5,0.673316423929632,7,0.670704029227309,5,393,60.5377,554.4386
"41",8.05e-07,0.674807682171418,5,0.673316423929632,7,0.670704029227309,5,393,60.5377,551.7716
"42",8.25e-07,0.674463004532103,5,0.673011807819711,7,0.670431223846957,5,355,60.5377,557.9985
"43",8.45e-07,0.674463004532103,5,0.673011807819711,7,0.670431223846957,5,355,60.5377,553.9552
"44",8.65e-07,0.674463004532103,5,0.673171029096064,7,0.672243781366169,5,331,60.5377,545.4454
"45",8.85e-07,0.674463004532103,5,0.673171029096064,7,0.672243781366169,5,331,60.5377,551.5862
"46",9.05e-07,0.674463004532103,5,0.673171029096064,7,0.672243781366169,5,331,60.5377,546.6884
"47",9.25e-07,0.671166784225234,5,0.670848483441677,6,0.667472365413918,5,314,60.5377,602.5113
"48",9.45e-07,0.671166784225234,5,0.670848483441677,6,0.667472365413918,5,314,60.5377,610.6923
"49",9.65e-07,0.671166784225234,5,0.670848483441677,6,0.667472365413918,5,314,60.5377,605.3988
"50",9.85e-07,0.671386503106392,5,0.67122082026682,6,0.667472365413918,5,310,60.5377,602.7355
"51",1.005e-06,0.671386503106392,5,0.67122082026682,6,0.667472365413918,5,310,60.5377,612.5939
"52",1.025e-06,0.671386503106392,5,0.67122082026682,6,0.667472365413918,5,310,60.5377,607.3879
"53",1.045e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,616.1217
"54",1.065e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,621.9083
"55",1.085e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,617.2731
"56",1.105e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,614.5108
"57",1.125e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,620.6409
"58",1.145e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,613.3142
"59",1.165e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,608.0798
"60",1.185e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,407,60.5377,620.391
"61",1.205e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,323,60.5377,611.5094
"62",1.225e-06,0.674362768625857,5,0.674197296266932,6,0.667551176752287,5,323,60.5377,608.8141
"63",1.245e-06,0.674362768625857,5,0.628028742949994,15,0.667551176752287,5,295,60.5377,621.023
"64",1.265e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,603.1956
"65",1.285e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,598.8475
"66",1.305e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,611.1666
"67",1.325e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,605.2882
"68",1.345e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,598.6265
"69",1.365e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,609.3272
"70",1.385e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,604.5191
"71",1.405e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,595.5303
"72",1.425e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,609.0268
"73",1.445e-06,0.672343723502115,5,0.628028742949994,15,0.668339842177211,5,350,60.5377,605.5595
"74",1.465e-06,0.672343723502115,5,0.525563629539673,31,0.668339842177211,5,350,60.5377,596.7924
"75",1.485e-06,0.672343723502115,5,0.522900356542404,31,0.668339842177211,5,157,60.5377,605.5978
"76",1.505e-06,0.672343723502115,5,0.522900356542404,31,0.668339842177211,5,157,60.5377,601.9817
"77",1.525e-06,0.672343723502115,5,0.522900356542404,31,0.668339842177211,5,157,60.5377,592.7849
"78",1.545e-06,0.672343723502115,5,0.522900356542404,31,0.668339842177211,5,157,60.5377,605.8106
