"conNum","best jaccard (all)","best jaccard (train)","best jaccard (test)","selection (all)","selection (train)","selection (test)","con_selection (all)","con_selection (train)","con_selection (test)","outliers","FCI time","consensus time"
"1",4.5e-08,0.736354699326129,0.731103845809911,0.767627886825243,0.58096683981439,0.575830921158087,0.611534434361286,0.693512940706462,0.689571001121373,0.716342734703653,3107,42.2402,241.0066
"2",1.45e-07,0.809684394931485,0.803091795693595,0.849924910776252,0.809684394931485,0.803091795693595,0.849924910776252,0.782841321399381,0.775715082898535,0.826716810843637,3125,42.2402,367.1683
"3",2.45e-07,0.806599142546141,0.800294612761226,0.844647519207995,0.800433855920304,0.793874873565969,0.840343232044006,0.791763257381656,0.785239118682879,0.831309067714999,3013,42.2402,403.8743
"4",3.45e-07,0.804561387276606,0.798723461831999,0.847318558785956,0.657401179758042,0.651927537549722,0.689907418414206,0.792669184565192,0.785475259293583,0.836656322806118,2090,42.2402,415.9533
"5",4.45e-07,0.82383806067271,0.816886741247022,0.86627423672197,0.82383806067271,0.816886741247022,0.86627423672197,0.802490832364251,0.795139165381021,0.847537976396686,1459,42.2402,426.0332
"6",5.45e-07,0.843601399043493,0.837641370721232,0.879809574183711,0.798269385221865,0.792335356735643,0.833974797270599,0.809973941042763,0.80301646169888,0.852360898822068,1094,42.2402,465.7449
"7",6.45e-07,0.843601399043493,0.837641370721232,0.879809574183711,0.798269385221865,0.792335356735643,0.833974797270599,0.809973941042763,0.80301646169888,0.852360898822068,1094,42.2402,466.8759
"8",7.45e-07,0.837141049228868,0.831052250408262,0.87789240710686,0.822378970015796,0.815854566897984,0.861792686168196,0.827008738830628,0.819813764439281,0.871043814275927,831,42.2402,400.344
"9",8.45e-07,0.837940034604016,0.831893925039652,0.874530406542857,0.818567879836818,0.812043356821791,0.857981689463107,0.814445243138442,0.806551520600504,0.863084179014501,892,42.2402,459.3818
"10",9.45e-07,0.848127507669846,0.842138881858639,0.884364177360711,0.839582156119782,0.832668282366736,0.881783298010679,0.826062595421723,0.818554876809028,0.872120094372505,680,42.2402,423.5685
"11",1.045e-06,0.848127507669846,0.842138881858639,0.884364177360711,0.839582156119782,0.832668282366736,0.881783298010679,0.825752285394379,0.818375303478459,0.870973117982424,686,42.2402,428.001
"12",1.145e-06,0.870036858716283,0.865851257384597,0.894808609038094,0.836899588587314,0.831937954060878,0.866446908086565,0.827142270723056,0.820428426171198,0.867997475525411,623,42.2402,428.5871
"13",1.245e-06,0.869970651532783,0.865774381744312,0.894808609038094,0.853738997751035,0.848174115885993,0.887203566221622,0.838321049438551,0.831493079221887,0.879952731288306,697,42.2402,438.5607
"14",1.345e-06,0.87597443495728,0.871782297037497,0.900811225760649,0.847776679250007,0.842842417817494,0.877193027895842,0.84521705776998,0.838956112491417,0.88339859230006,689,42.2402,467.8681
"15",1.445e-06,0.874346789359681,0.870012327440137,0.900083573918337,0.83338790787323,0.82831236698554,0.863638342174987,0.828473640262127,0.821803381147214,0.869068642033456,749,42.2402,459.4599
"16",1.545e-06,0.865883885125737,0.862225043264833,0.888076645336575,0.83338790787323,0.82831236698554,0.863638342174987,0.853599250553329,0.848440913898119,0.884654585682918,393,42.2402,526.8094
"17",1.645e-06,0.865883885125737,0.862225043264833,0.888077697465665,0.83338790787323,0.82831236698554,0.863638342174987,0.853599250553329,0.848440913898119,0.884654585682918,393,42.2402,535.1655
"18",1.745e-06,0.865883885125737,0.862225043264833,0.888077697465665,0.846635523605921,0.841505822962813,0.877285631061779,0.853599250553329,0.848440913898119,0.884654585682918,345,42.2402,538.8859
"19",1.845e-06,0.852062278524518,0.847655382224446,0.879235597147935,0.846635523605921,0.841505822962813,0.877285631061779,0.833961960158539,0.828440741204681,0.867089794234331,398,42.2402,536.8456
"20",1.945e-06,0.861902292256736,0.858306558979282,0.883054472318297,0.855773373125886,0.851410787723399,0.881672567062942,0.835837695052881,0.830252643899404,0.869377892755791,368,42.2402,537.9331
