"conNum","best jaccard","k","selection","k","con-selection","k","outliers","FCI time","consensus time"
"1",5e-09,0.645422106526461,4,0.4830146786896,9,0.63570096418635,4,2077,64.9343,748.2706
"2",2.5e-08,0.660823081235484,5,0.535552588331105,16,0.660823081235484,5,731,64.9343,548.569
"3",4.5e-08,0.660368479465531,5,0.535552588331105,16,0.650370600821558,5,700,64.9343,497.7712
"4",6.5e-08,0.663350991649252,6,0.630405897103327,15,0.651086626705549,5,1862,64.9343,514.3671
"5",8.5e-08,0.661851258864773,6,0.630405897103327,15,0.648349474273199,5,1632,64.9343,503.0295
"6",1.05e-07,0.663140878803837,5,0.630405897103327,15,0.648349474273199,5,1631,64.9343,498.1552
"7",1.25e-07,0.661397315746985,6,0.630405897103327,15,0.652587364476596,5,1632,64.9343,454.8213
"8",1.45e-07,0.67093666259044,5,0.628595286560572,15,0.65269308663909,5,480,64.9343,464.1852
"9",1.65e-07,0.670643306138651,5,0.528343298082269,32,0.662003105688043,5,355,64.9343,473.629
"10",1.85e-07,0.671368985603622,5,0.528343298082269,32,0.663963957242819,5,263,64.9343,450.0769
"11",2.05e-07,0.670745470554743,5,0.528343298082269,32,0.663345814711168,5,264,64.9343,480.0732
"12",2.25e-07,0.671368985603622,5,0.528343298082269,32,0.663963957242819,5,263,64.9343,447.7454
"13",2.45e-07,0.671789827333185,13,0.528343298082269,32,0.663863578110914,5,247,64.9343,455.7176
"14",2.65e-07,0.671789827333185,13,0.528343298082269,32,0.663863578110914,5,247,64.9343,449.3068
"15",2.85e-07,0.671950524090169,13,0.528343298082269,32,0.663863578110914,5,250,64.9343,457.3846
"16",3.05e-07,0.671950524090169,13,0.528343298082269,32,0.663863578110914,5,250,64.9343,452.4311
"17",3.25e-07,0.671950524090169,13,0.528343298082269,32,0.663863578110914,5,259,64.9343,442.2827
"18",3.45e-07,0.678550151971479,5,0.571000567931176,31,0.678473705062141,5,260,64.9343,419.5833
"19",3.65e-07,0.678550151971479,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,419.0962
"20",3.85e-07,0.678550151971479,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,427.0476
"21",4.05e-07,0.678550151971479,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,414.5583
"22",4.25e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,419.6468
"23",4.45e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,413.176
